"id","postcode","place_name","state_name","state_code","latitude","longitude"
1,"200",AUSTRALIAN NATIONAL UNIVERSITY,AUSTRALIAN NATIONAL UNI LPO,ACT,-35.2770004,149.117004
2,"221",BARTON,NULL,ACT,-35.2010002,149.095001
3,"800",DARWIN,DARWIN DELIVERY CENTRE,NT,-12.8009996,130.955002
4,"801",DARWIN,DARWIN DELIVERY CENTRE,NT,-12.8009996,130.955002
5,"804",PARAP,PARAP,NT,-12.4320002,13.0839996
6,"810",ALAWA,DARWIN DELIVERY CENTRE,NT,-12.3780003,130.876999
7,"810",BRINKIN,DARWIN DELIVERY CENTRE,NT,-12.3669996,130.869003
8,"810",CASUARINA,DARWIN DELIVERY CENTRE,NT,-12.3760004,130.850006
9,"810",JINGILI,DARWIN DELIVERY CENTRE,NT,-12.3850002,130.873001
10,"810",LEE POINT,DARWIN DELIVERY CENTRE,NT,-12.3599997,130.891006
11,"810",MILLNER,DARWIN DELIVERY CENTRE,NT,-1.23899996,130.863998
12,"810",MOIL,DARWIN DELIVERY CENTRE,NT,-12.3870001,130.878998
13,"810",NAKARA,DARWIN DELIVERY CENTRE,NT,-12.3690004,13.0869999
14,"810",NIGHTCLIFF,DARWIN DELIVERY CENTRE,NT,-12.382,130.852997
15,"810",RAPID CREEK,DARWIN DELIVERY CENTRE,NT,-12.3870001,130.863998
16,"810",TIWI,DARWIN DELIVERY CENTRE,NT,-12.3629999,13.0869999
17,"810",WAGAMAN,DARWIN DELIVERY CENTRE,NT,-12.3789997,130.886002
18,"810",WANGURI,DARWIN DELIVERY CENTRE,NT,-1.23699999,130.888
19,"811",CASUARINA,CASUARINA,NT,-12.3760004,130.850006
20,"812",KARAMA,DARWIN DELIVERY CENTRE,NT,-12.3999996,130.912994
21,"812",LEANYER,DARWIN DELIVERY CENTRE,NT,-12.3760004,130.899994
22,"812",MALAK,DARWIN DELIVERY CENTRE,NT,-12.3920002,130.904007
23,"812",MARRARA,DARWIN DELIVERY CENTRE,NT,-12.3959999,130.882004
24,"812",WULAGI,DARWIN DELIVERY CENTRE,NT,-12.3839998,130.897003
25,"814",NIGHTCLIFF,NIGHTCLIFF,NT,-12.382,130.852997
26,"820",BAGOT,DARWIN DELIVERY CENTRE,NT,-12.4099998,130.856003
27,"820",BAYVIEW,DARWIN DELIVERY CENTRE,NT,-12.4399996,130.856003
28,"820",CHARLES DARWIN,DARWIN DELIVERY CENTRE,NT,-12.4429998,130.843994
29,"820",COONAWARRA,DARWIN DELIVERY CENTRE,NT,-12.4300003,130.882004
30,"820",CULLEN BAY,DARWIN DELIVERY CENTRE,NT,-12.4540005,130.822006
31,"820",EAST POINT,DARWIN DELIVERY CENTRE,NT,-12.4259996,130.835999
32,"820",FANNIE BAY,DARWIN DELIVERY CENTRE,NT,-12.4230003,130.835999
33,"820",LARRAKEYAH,DARWIN DELIVERY CENTRE,NT,-12.4589996,130.830002
34,"820",LUDMILLA,DARWIN DELIVERY CENTRE,NT,-12.4250002,130.850998
35,"820",PARAP,DARWIN DELIVERY CENTRE,NT,-12.4320002,13.0839996
36,"820",STUART PARK,DARWIN DELIVERY CENTRE,NT,-124.389,130.843002
37,"820",THE GARDENS,DARWIN DELIVERY CENTRE,NT,-1.24600005,130.841003
38,"820",THE NARROWS,DARWIN DELIVERY CENTRE,NT,-12.4250002,130.858994
39,"820",WINNELLIE,DARWIN DELIVERY CENTRE,NT,-12.4259996,130.882004
40,"820",WOOLNER,DARWIN DELIVERY CENTRE,NT,-1.24300003,130.848007
41,"821",WINNELLIE,WINNELLIE,NT,-12.4259996,130.882004
42,"822",ACACIA HILLS,DARWIN DELIVERY CENTRE,NT,-12.7989998,131.130997
43,"822",BEES CREEK,DARWIN DELIVERY CENTRE,NT,-12.5710001,131.059006
44,"822",COX PENINSULA,DARWIN DELIVERY CENTRE,NT,-12.7150002,130.875
45,"822",DALY RIVER,DARWIN DELIVERY CENTRE,NT,-13.9879999,130.401993
46,"822",FLEMING,DARWIN DELIVERY CENTRE,NT,-1.40499997,131.412003
47,"822",GUNN POINT,DARWIN DELIVERY CENTRE,NT,-12.316,131.128998
48,"822",LAMBELLS LAGOON,DARWIN DELIVERY CENTRE,NT,-12.5690002,131.237
49,"822",LIVINGSTONE,DARWIN DELIVERY CENTRE,NT,-12.7299995,131.037994
50,"822",MANINGRIDA,DARWIN DELIVERY CENTRE,NT,-12.0860004,134.270996
